id,supermarket,name,price,reference_price,reference_unit
120965,carrefour-es,Solomillo de cerdo Carrefour 2 ud 1 kg aprox,6.2,6.2,kg
120966,carrefour-es,Costilla de cerdo semicarnuda Carrefour 500 g aprox,2.37,4.75,kg
120967,carrefour-es,"Trozo de lomo de cerdo Carrefour 1,2 kg aprox",4.79,3.99,kg
120968,carrefour-es,Chuletas de lomo de cerdo Carrefour 500 g aprox,2.4,4.8,kg
120969,carrefour-es,Chuleta de aguja de cerdo Carrefour 1 kg aprox,4.6,4.6,kg
120970,carrefour-es,Lomo Ibérico de cerdo adobado Legado Ibérico ElPozo 200 g,3.55,17.75,kg
120971,carrefour-es,Costillas de cerdo troceadas para guisar Carrefour 500 g aprox,2.9,5.8,kg
120972,carrefour-es,Filetes de cinta de lomo de cerdo Carrefour 800 g aprox,5.2,6.5,kg
120973,carrefour-es,Jamón de cerdo troceado Carrefour 500 g aprox,2.65,5.3,kg
120974,carrefour-es,Filete de cabeza de lomo de cerdo Carrefour 450 g aprox,2.43,5.4,kg
120975,carrefour-es,Filete de jamón de cerdo Carrefour 450 g aprox,2.2,4.9,kg
120976,carrefour-es,Lomo de cerdo al ajillo fileteado Carrefour 650 g aprox,4.22,6.5,kg
120977,carrefour-es,Costilla de cerdo Carrefour 1 kg aprox,4.75,4.75,kg
120978,carrefour-es,Costilla de Cerdo adobada Carrefour 450 g aprox,3.78,8.4,kg
120979,carrefour-es,Filete de lomo de cerdo Carrefour 250 g aprox,1.62,6.5,kg
120980,carrefour-es,Solomillo de cerdo Extratiernos ElPozo 600 g aprox,5.22,8.7,kg
120981,carrefour-es,Solomillo de cerdo al romero Extratiernos ElPozo 500 g,4.8,9.6,kg
120982,carrefour-es,Tira de costillas de cerdo Carrefour 500 g aprox,3.1,6.2,kg
120983,carrefour-es,Secreto de cerdo Extratiernos ElPozo 500 g aprox,3.45,6.9,kg
120984,carrefour-es,Secreto de cerdo Carrefour al vacío 1 kg aprox,6.15,6.15,kg
120985,carrefour-es,Filetes finos de lomo de cerdo para plancha o freír 540 g aprox,3.56,6.59,kg
120986,carrefour-es,Secreto de cerdo ibérico de primera fresco Del alma al vacío 500 g aprox,3.45,6.9,kg
120987,carrefour-es,Chuletas mixtas de cordero 1 kg aprox,12.9,12.9,kg
120988,carrefour-es,Chuletas de cordero lechal 450 g aprox,11.65,25.9,kg
120989,carrefour-es,Paletilla de cordero chuleteada ,6.07,13.5,kg
120990,carrefour-es,Cuello de cordero 400 g aprox,2.76,6.9,kg
120991,carrefour-es,Chuletas mixtas de cordero,14.9,14.9,kg
120992,carrefour-es,Costillar de cordero 400 g aprox,6.64,16.6,kg
120993,carrefour-es,Chuletillas de cordero lechal Moralejo 400 g aprox,11.96,29.9,kg
120994,carrefour-es,Chuletas de cordero para barbacoa Moralejo 400 g aprox,7.96,19.9,kg
120995,carrefour-es,Cordero falda corte 200 g aprox,1.38,6.9,kg
120996,carrefour-es,Pierna Cordero lechal  Tierra de Sabor 800 g aprox,9.56,11.95,kg
120997,carrefour-es,Medio conejo troceado Calidad y Origen Carrefour 650 g  aprox,4.22,6.5,kg
120998,carrefour-es,"Conejo entero Calidad y Origen Carrefour 1,250 Kg aprox",7.44,5.95,kg
121002,carrefour-es,Brochetas de pollo adobada 4 ud 320 g,2.49,7.73,kg
121004,carrefour-es,Carrillada de cerdo ElPozo 300 g aprox,2.88,9.6,kg
121005,carrefour-es,Pincho de jamón de cerdo Carrefour 8 ud,4.68,5.85,kg
121006,carrefour-es,Brocheta de jamón fresco de cerdo 300 g,3.0,3.0,ud
121007,carrefour-es,Lomo de Cerdo Adobado al Horno ElPozo 350 g,2.9,8.79,kg
121008,carrefour-es,Solomillo de cerdo adobado Extratiernos ElPozo 500 g,4.8,9.6,kg
121009,carrefour-es,Pincho de jamón de cerdo amarillo Carrefour 8 ud,4.68,5.85,kg
121010,carrefour-es,Callos a la madrileña De Nuestra Tierra 500 g,3.95,7.9,kg
