id,supermarket,name,price,reference_price,reference_unit
1076871,dia-es,SERRANO preparado de carne picada de pavo y pollo bandeja 300 gr,2.25,7.5,€/Kg.
1076872,dia-es,NOEL hamburguesas con ajo y perejil bandeja 360 gr,1.99,5.53,€/Kg.
1076873,dia-es,GARDEN GOURMET hamburguesas vegetarianas bandeja 180 gr,3.55,19.72,€/Kg.
1076874,dia-es,ROLER hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr,2.49,4.61,€/Kg.
1076875,dia-es,DIQUESI hamburguesas veganas de calabacín y quinoa bandeja 200 gr,2.59,12.95,€/Kg.
1076876,dia-es,Hamburguesas de pollo bandeja 4 uds 320 gr,2.25,7.03,€/Kg.
1076877,dia-es,ROLER hamburguesa de vacuno novillo angus 150 gr,1.95,13.0,€/Kg.
1076878,dia-es,ROLER hamburguesas de vacuno bandeja 6 uds 540 gr,3.39,6.28,€/Kg.
1076879,dia-es,ROLER preparado de carne picada de vacuno bandeja 500 gr,3.2,6.4,€/Kg.
1076880,dia-es,ROLER preparado de carne picada de cerdo y vacuno bandeja 500 gr,2.99,5.98,€/Kg.
1076881,dia-es,ROLER preparado de carne picada de cerdo y vacuno bandeja 1 Kg,4.99,4.99,€/Kg.
1076882,dia-es,ROLER hamburguesas de lomo de vaca bandeja 2 uds 240 gr,2.95,12.29,€/Kg.
1076883,dia-es,Chorizo criollo (peso aprox. 450 gr),2.93,6.5,€/Kg.
1076884,dia-es,SERRANO longaniza de pavo y pollo 320 gr,2.19,6.84,€/Kg.
1076885,dia-es,Chorizo pincho (peso aprox. 460 gr),3.04,6.6,€/Kg.
1076886,dia-es,Chorizo gallego malla 500 gr,3.99,7.98,€/Kg.
1076887,dia-es,Morcilla de burgos pieza 320 gr,1.39,4.34,€/Kg.
1076888,dia-es,VALLINA compango asturiano bandeja 250 gr,2.35,9.4,€/Kg.
1076889,dia-es,Chorizo de cerdo oreado bandeja 380 gr,2.45,6.45,€/Kg.
1076900,dia-es,LA GULA DEL NORTE al ajillo envase 125 gr,3.5,25.93,€/Kg.
1076901,dia-es,LA GULA DEL NORTE con gambas al ajillo envase 125 gr,3.5,25.93,€/Kg.
1076902,dia-es,KRISSIA surimi fresco rallado envase 125 g,1.89,15.12,€/Kg.
1076903,dia-es,DIA migas de bacalao envase 300 gr,4.89,16.3,€/Kg.
1076904,dia-es,DIA salmón ahumado noruego sobre 200 gr,5.49,27.45,€/Kg.
1076905,dia-es,DIA palitos de surimi paquete 300 gr,1.29,4.3,€/Kg.
1076906,dia-es,AGUINAMAR mejillones cocidos envasado al vació 1 Kg,3.95,3.95,€/Kg.
1076907,dia-es,Filete de pez espada unidad (peso aprox. 180 gr),3.45,19.17,€/Kg.
1076908,dia-es,"Filete de bacalao con piel, limpio y sin espinas unidad (peso aprox. 500 gr)",5.98,11.95,€/Kg.
1076909,dia-es,Sepia mediana limpia y entera unidad (peso aprox. 500 gr),5.98,11.95,€/Kg.
1076910,dia-es,Almeja de cultivo (peso aprox. 250 gr),2.0,7.99,€/Kg.
1076911,dia-es,Gallo mediano limpio y entero unidad (peso aprox. 600 gr),5.37,8.95,€/Kg.
1076912,dia-es,Lubina de cultivo limpia y entera unidad (peso aprox. 750 gr),4.49,5.99,€/Kg.
1076913,dia-es,Dorada de cultivo limpia y entera unidad (peso aprox. 750 gr),5.89,7.85,€/Kg.
1076914,dia-es,Anillas de potón (peso aprox. 250 gr),1.5,5.99,€/Kg.
1076915,dia-es,Merluza de pincho limpia en filetes (peso aprox. 2.1 Kg),18.88,8.99,€/Kg.
1076916,dia-es,Salmón rodaja unidad (peso aprox. 400 gr),4.38,10.95,€/Kg.
