id,supermarket,name,price,reference_price,reference_unit
248894,mercadona-es,Tomates cherry en rama Dulcita,1.99,9.95,kg
248895,mercadona-es,Tomates pera,1.55,1.55,kg
248896,mercadona-es,Tomates kumato,1.99,1.99,kg
248897,mercadona-es,Tomates,2.6,1.3,kg
248898,mercadona-es,Tomate kumato negro,0.29,2.39,kg
248899,mercadona-es,Tomate rallado Bonnysa,1.29,4.45,kg
248900,mercadona-es,Tomate seco,1.79,22.38,kg
248901,mercadona-es,Tomates en rama,1.72,1.79,kg
248902,mercadona-es,Tomate valenciano,1.22,3.49,kg
248903,mercadona-es,Zanahorias,0.69,0.69,kg
248904,mercadona-es,Pepino,0.36,1.49,kg
248905,mercadona-es,Pepino holandés,0.85,1.99,kg
248906,mercadona-es,Zanahorias,0.58,1.15,kg
248907,mercadona-es,Pepinos,1.59,1.27,kg
248908,mercadona-es,Palitos de zanahoria,1.49,8.28,kg
248909,mercadona-es,Zanahoria rallada base para ensalada,0.75,5.0,kg
248910,mercadona-es,Pimiento rojo,0.61,2.1,kg
248911,mercadona-es,Calabacín verde,0.57,1.39,kg
248912,mercadona-es,Pimiento verde freír,0.2,1.79,kg
248913,mercadona-es,Calabacín blanco,0.63,1.79,kg
248914,mercadona-es,Pimiento verde,0.55,2.29,kg
248915,mercadona-es,"Pimientos tricolor rojo, amarillo y verde",1.79,2.98,kg
248916,mercadona-es,Pimientos semipicantes,1.15,4.6,kg
248917,mercadona-es,Coliflor,2.25,1.99,kg
248918,mercadona-es,Repollo liso,1.39,1.0,kg
248919,mercadona-es,Medio repollo liso,1.01,1.3,kg
248920,mercadona-es,Repollo rizado,1.36,1.15,kg
248921,mercadona-es,Medio repollo rizado,0.84,1.45,kg
248922,mercadona-es,Col lombarda,1.48,1.2,kg
248923,mercadona-es,Media col lombarda,0.84,1.45,kg
248924,mercadona-es,Champiñón pequeño,1.17,3.89,kg
248925,mercadona-es,Champiñón laminado limpio,1.6,5.0,kg
248926,mercadona-es,Seta,1.78,7.1,kg
248927,mercadona-es,Champiñón grande,1.84,4.29,kg
248928,mercadona-es,Seta laminada,1.23,4.9,kg
248929,mercadona-es,Champiñón Portobello,1.74,5.8,kg
248930,mercadona-es,Setas al plato con perejil,2.88,14.4,kg
248931,mercadona-es,Salteado de setas laminadas,1.72,6.89,kg
248932,mercadona-es,Seta shiitake,2.45,12.25,kg
248933,mercadona-es,Perejil troceado,0.7,1.75,100 g
248934,mercadona-es,Jengibre,0.96,4.8,kg
248935,mercadona-es,Cilantro,1.15,5.75,100 g
248936,mercadona-es,Hierbabuena,1.15,16.43,kg
248937,mercadona-es,Cebollino,1.15,5.75,100 g
248938,mercadona-es,Romero,1.15,5.75,100 g
248939,mercadona-es,Espinacas cortadas,1.0,3.33,kg
248940,mercadona-es,Brócoli,1.16,2.89,kg
248941,mercadona-es,Berenjena,0.66,1.79,kg
248942,mercadona-es,Berenjena rayada,0.7,1.99,kg
248943,mercadona-es,Judía verde plana,2.49,3.32,kg
248944,mercadona-es,Judía verde plana,345.51,3.49,kg
248945,mercadona-es,Puerros,2.06,2.29,kg
248946,mercadona-es,Alcachofa,0.6,3.5,kg
248947,mercadona-es,Judía verde redonda,1.8,3.6,kg
